0000	1.0	0.0	0
0001	29.937	15.277	180
1011	2.397	26.202	-90
1021	3.672	26.202	90
1031	3.782	26.202	-90
1041	5.057	26.202	90
1051	5.162	26.202	-90
1061	6.437	26.202	90
1071	6.586	26.177	-90
1072	6.586	24.102	-90
1081	7.861	26.177	90
1082	7.861	24.102	90
1091	8.035	26.205	-90
1101	9.310	26.205	90
1111	9.632	26.205	-90
1121	10.907	26.205	90
1131	11.225	26.201	-90
1141	12.500	26.201	90
1151	12.797	26.216	-90
1161	14.072	26.216	90
1171	14.542	26.170	-90
1172	14.542	24.102	-90
1181	15.817	26.170	90
1182	15.817	24.102	90
1191	16.114	26.216	-90
1201	17.389	26.216	90
1211	17.706	26.216	-90
1221	18.981	26.216	90
1231	19.278	26.212	-90
1241	20.553	26.212	90
1251	20.871	26.212	-90
1261	22.146	26.212	90
1271	22.511	26.170	-90
1272	22.511	24.102	-90
1281	23.786	26.170	90
1282	23.786	24.102	90
1291	24.036	26.201	-90
1301	25.311	26.201	90
1311	25.625	26.239	-90
1321	26.900	26.239	90
1331	27.224	26.232	-90
1341	28.599	26.232	90
1012	2.397	16.202	-90
1022	3.672	16.202	90
1032	3.807	16.202	-90
1042	5.082	16.202	90
1052	5.226	16.202	-90
1062	6.501	16.202	90
1073	6.560	22.103	-90
1074	6.560	16.177	-90
1083	7.835	22.103	90
1084	7.835	16.177	90
1092	8.088	16.205	-90
1102	9.363	16.205	90
1112	9.677	16.205	-90
1122	10.952	16.205	90
1132	11.242	16.205	-90
1142	12.517	16.205	90
1152	12.811	16.216	-90
1162	14.086	16.216	90
1173	14.576	22.103	-90
1174	14.576	16.170	-90
1183	15.851	22.103	90
1184	15.851	16.170	90
1192	16.140	16.216	-90
1202	17.415	16.216	90
1212	17.729	16.216	-90
1222	19.004	16.216	90
1232	19.312	16.212	-90
1242	20.587	16.212	90
1252	20.887	16.212	-90
1262	22.162	16.212	90
1273	22.477	22.103	-90
1274	22.477	16.170	-90
1283	23.752	22.103	90
1284	23.752	16.170	90
1292	24.110	16.210	-90
1302	25.385	16.210	90
1312	25.692	16.239	-90
1322	26.967	16.239	90
1332	27.297	16.232	-90
1342	28.582	16.232	90
2011	2.392	15.712	-90
2021	3.667	15.712	90
2031	3.785	15.701	-90
2041	5.060	15.701	90
2051	5.196	15.716	-90
2061	6.471	15.716	90
2071	6.603	14.116	-90
2072	6.537	11.0	-90
2081	7.878	14.116	90
2082	7.958	11.0	90
2091	8.075	15.699	-90
2101	9.350	15.699	90
2111	9.681	15.702	-90
2121	10.956	15.702	90
2131	11.228	15.695	-90
2141	12.503	15.695	90
2151	12.813	15.707	-90
2161	14.088	15.707	90
2171	14.603	14.116	-90
2172	14.345	11.0	-90
2181	15.878	14.116	90
2182	16.035	11.0	90
2191	16.192	15.713	-90
2201	17.467	15.713	90
2211	17.771	15.706	-90
2221	19.046	15.706	90
2231	19.346	15.714	-90
2241	20.621	15.714	90
2251	20.910	15.708	-90
2261	22.185	15.708	90
2271	22.492	14.116	-90
2272	22.34	11.0	-90
2281	23.767	14.116	90
2282	23.938	11.0	90
2291	24.109	15.708	-90
2301	25.384	15.708	90
2311	25.731	15.681	-90
2321	27.006	15.681	90
2331	27.350	15.716	-90
2341	28.625	15.716	90
2012	2.392	6.712	-90
2022	3.667	6.712	90
2032	3.785	6.701	-90
2042	5.060	6.701	90
2052	5.196	6.715	-90
2062	6.471	6.715	90
2073	6.537	11.0	-90
2074	6.603	8.316	-90
2083	7.978	11.0	90
2084	7.878	8.316	90
2092	8.075	6.699	-90
2102	9.350	6.699	90
2112	9.681	6.702	-90
2122	10.956	6.702	90
2132	11.228	6.695	-90
2142	12.503	6.695	90
2152	12.813	6.707	-90
2162	14.088	6.707	90
2173	14.445	11.0	-90
2174	14.603	8.316	-90
2183	16.035	11.0	90
2184	15.878	8.316	90
2192	16.192	6.713	-90
2202	17.467	6.713	90
2212	17.771	6.706	-90
2222	19.046	6.706	90
2232	19.346	6.714	-90
2242	20.621	6.714	90
2252	20.910	6.708	-90
2262	22.185	6.708	90
2273	22.34	11.0	-90
2274	22.492	8.316	-90
2283	23.938	11.0	90
2284	23.767	8.316	90
2292	24.109	6.708	-90
2302	25.384	6.708	90
2312	25.731	6.681	-90
2322	27.006	6.681	90
2332	27.350	6.716	-90
2342	28.625	6.716	90
3011	2.390	6.152	-90
3021	3.665	6.152	90
3031	3.825	6.133	-90
3041	5.100	6.133	90
3051	5.203	6.133	-90
3061	6.478	6.133	90
3071	6.602	6.151	-90
3072	6.602	0.315	-90
3073	6.602	-1.884	-90
3081	7.877	6.151	90
3082	7.877	0.315	90
3083	7.877	-1.884	90
3091	8.094	6.151	-90
3101	9.369	6.151	90
3111	9.679	6.146	-90
3121	10.954	6.146	90
3131	11.267	6.146	-90
3141	12.542	6.146	90
3151	12.848	6.153	-90
3161	14.123	6.153	90
3171	14.623	6.126	-90
3172	14.623	0.315	-90
3173	14.623	-1.884	-90
3181	15.898	6.126	90
3182	15.898	0.315	90
3183	15.898	-1.884	90
3191	16.225	6.148	-90
3201	17.500	6.148	90
3211	17.798	6.148	-90
3221	19.073	6.148	90
3231	19.373	6.145	-90
3241	20.648	6.145	90
3251	20.928	6.145	-90
3261	22.203	6.145	90
3271	22.520	6.133	-90
3272	22.520	0.315	-90
3273	22.520	-1.884	-90
3281	23.795	6.133	90
3282	23.795	0.315	90
3283	23.795	-1.884	90
3291	24.059	6.150	-90
3301	25.334	6.150	90
3311	25.724	6.164	-90
3321	26.999	6.164	90
3331	27.352	6.152	-90
3341	28.627	6.152	90
3012	2.390	-3.833	-90
3022	3.665	-3.833	90
3032	3.790	-3.852	-90
3042	5.065	-3.852	90
3052	5.197	-3.852	-90
3062	6.472	-3.852	90
3074	6.584	-3.834	-90
3084	7.859	-3.834	90
3092	8.079	-3.834	-90
3102	9.354	-3.834	90
3112	9.644	-3.839	-90
3122	10.919	-3.839	90
3132	11.184	-3.839	-90
3142	12.459	-3.839	90
3152	12.836	-3.832	-90
3162	14.111	-3.832	90
3174	14.596	-3.859	-90
3184	15.871	-3.859	90
3192	16.158	-3.837	-90
3202	17.433	-3.837	90
3212	17.731	-3.837	-90
3222	19.006	-3.837	90
3232	19.330	-3.840	-90
3242	20.605	-3.840	90
3252	20.867	-3.840	-90
3262	22.142	-3.840	90
3274	22.528	-3.852	-90
3284	23.803	-3.852	90
3292	24.040	-3.835	-90
3302	25.315	-3.835	90
3312	25.691	-3.821	-90
3322	26.966	-3.821	90
3332	27.309	-3.833	-90
3342	28.584	-3.833	90
